family	area	subsistence
Palaihnihan	North America	HG
Pama-Nyungan	Australia	HG
Pankararú	South America	AGR
Pano-Tacanan	South America	AGR
Papi	Papunesia	HG-SAGO
Pauwasi	Papunesia	HG-SAGO
Pawaia	Papunesia	HG-SED
Payagua	South America	HG
Peba-Yagua	South America	AGR
Pele-Ata	Papunesia	AGR
Piawi	Papunesia	AGR
Pirahã	South America	HG
Pomoan	North America	HG
Puelche	South America	HG
Puinave	South America	AGR
Pumé	South America	HG
Puquina	South America	AGR
Purari	Papunesia	HG-SAGO
Puri-Coroado	South America	HG
Pyu	Papunesia	HG-SED
Páez	South America	AG
Quechuan	South America	AGR
Ramanos	South America	NODATA
Rashad	Africa	AGR
Ramu	Papunesia	HG-SAGO
Sahaptian	North America	HG
Saharan	Africa	AGR
Saliban	South America	AGR
Salinan	North America	HG
Salishan	North America	HG-FISH
Sandawe	Africa	AGR
Sapé	South America	HG
Sause	Papunesia	HG-SAGO
Savosavo	Papunesia	AGR
Sechuran	South America	AGR
Senagi	Papunesia	HG-SAGO
Sentanic	Papunesia	HG-SAGO
Sepik	Papunesia	HG-SAGO
Seri	North America	HG
Shabo	Africa	HG
Shastan	North America	HG
ShomPeng	Eurasia	HG
Siamou	Africa	AGR
Sino-Tibetan	Eurasia	AGR
Siouan	North America	HG
Siuslaw	North America	HG
Sko	Papunesia	HG-SAGO, HG-SED
Somahai	Papunesia	HG-SAGO
Songhay	Africa	AGR
South-EasternTasmanian	Australia	HG
SouthBird'sHeadFamily	Papunesia	HG-SED, HG-SAGO
SouthBougainville	Papunesia	AGR
SouthernDaly	Australia	HG
SouthOmotic	Africa	AGR
Suki-Gogodala	Papunesia	HG-SAGO
Sulka	Papunesia	AGR
Sumerian	Eurasia	AGR
Surmic	Africa	AGR
Ta-Ne-Omotic	Africa	AGR
Tabo	Papunesia	HG-SED
Tai-Kadai	Eurasia	AGR
Taiap	Papunesia	HG-SAGO
Takelma	North America	HG
Tallán	South America	AGR
Tamaic	Africa	AGR
Tambora	Papunesia	AGR
Tanahmerah	Papunesia	HG-SAGO
Tangkic	Australia	HG
Tarascan	North America	AGR
Taruma	South America	NODATA
Taulil-Butam	Papunesia	AGR
Taushiro	South America	HG, AGR
Teberan	Papunesia	AGR
Temeinic	Africa	AGR
Tequistlatecan	North America	AGR
Ticuna-Yuri	South America	AGR
Timor-Alor-Pantar	Papunesia	AGR
Timote-Cuica	South America	AGR
Timucua	North America	HG
Tinigua	South America	AGR
Tiwi	Australia	HG
Tonkawa	North America	HG
Tor-Orya	Papunesia	HG-SAGO
Totonacan	North America	AGR
Touo	Papunesia	AGR
Trumai	South America	HG
Tsimshian	North America	HG
Tucanoan	South America	AGR
Tungusic	Eurasia	PAS
Tunica	North America	AGR
Tupian	South America	AGR
Turama-Kikori	Papunesia	AGR
Turkic	Eurasia	AGR
Tuu	Africa	HG
Tuxá	South America	AGR
Ulmapo	Papunesia	HG-SAGO
Umbugarla	Australia	HG
Uralic	Eurasia	AGR
Urarina	South America	AGR
Uru-Chipaya	South America	HG, AGR
Usku	Papunesia	HG-SAGO
Uto-Aztecan	North America	AGR
