mo	pairs_mo	BP_mo	lat_mo	lon_mo	Ntaxa_mo	method_mo	da	pairs_da	BP_da	lat_da	lon_da	Ntaxa_da	method_da	err_home_mo	err_home_da	distance	speed	area	subsistence	bearing	biome4	biome4_names	perc_b4	biome98	biome98_names	perc_b98	altitude	rugosity	npp
Afro-Asiatic,Chadic,EastChadic,EastChadicA	14	3133	13.0755	18.35132	14	BT	Afro-Asiatic,Chadic,EastChadic,EastChadicA,EastChadicA.2	1	1669	12.47656	16.37799	6	BT	111	97	224.365345359186	0.153	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	304.95	5.76	239.29
Afro-Asiatic,Chadic,EastChadic,EastChadicB	54	3645	12.20696	19.37657	22	BT	Afro-Asiatic,Chadic,EastChadic,EastChadicB,EastChadicB.3	3	2111	12.09676	19.00963	7	BT	88	90	41.7741260615263	0.027	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	449.48	32.05	500
Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic	6	1658	8.374471	35.03397	7	BT	Afro-Asiatic,Cushitic,EastCushitic,HighlandEastCushitic,Sidaama-Hadiyya-Kambaata	8	1219	8.9237	36.36538	6	BT	112	109	158.76988382057	0.362	Africa	AGR	EW	3	Tropical deciduous forest/woodland	72.2	100	Sea	55.6	1773.15	226.96	1011.67
Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic	42	3253	8.30455	33.35337	26	BT	Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar	1	1387	9.234826	35.30328	2	BT	409	77	238.210337928801	0.128	Africa	AGR	EW	12	Tropical savanna	84.6	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	76.9	708.14	149.74	808.92
Afro-Asiatic,Semitic,WestSemitic,Ethiosemitic	23	2485	16.38853	36.87859	16	BT	Afro-Asiatic,Semitic,WestSemitic,Ethiosemitic,SouthEthiopic	36	2063	13.43074	35.943	12	BT	199	180	344.293773383709	0.816	Africa	AGR	NS	13	Tropical xerophytic shrubland	91.7	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	469.1	36.95	268.92
Afro-Asiatic,Semitic,WestSemitic,ModernSouthArabian	6	1668	18.419	44.2839	6	BT	Afro-Asiatic,Semitic,WestSemitic,ModernSouthArabian,Hobyot-WesternMSA	2	1580	18.5353	46.57817	4	BT	138	82	242.575332924092	2.757	Africa	AGR	EW	21	Desert	100	13	Deserts & Xeric Shrublands 	100	957.08	52.33	206.77
Afro-Asiatic,Semitic,WestSemitic,ModernSouthArabian	6	1668	18.419	44.2839	6	BT	Afro-Asiatic,Semitic,WestSemitic,ModernSouthArabian,EasternMSA	1	1422	18.14503	46.74568	2	BT	138	77	261.990342302401	1.065	Africa	AGR	EW	21	Desert	100	13	Deserts & Xeric Shrublands 	100	937.95	50.64	203.21
Afro-Asiatic,Cushitic,SouthCushitic,GreaterWestRiftSouthCushitic	3	3630	-4.64148	35.7231	5	MD	Afro-Asiatic,Cushitic,SouthCushitic,GreaterWestRiftSouthCushitic,WestRiftSouthCushitic	2	1476	1.891363	33.43117	4	BT	95	96	770.619228287391	0.358	Africa	AGR	NS	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	87.3	1350.98	109.96	437.03
Afro-Asiatic,Chadic,WestChadic,WestChadicA	239	3713	9.84584	12.2983	46	BT	Afro-Asiatic,Chadic,WestChadic,WestChadicA,WestChadicA.2-3	150	3010	11.27146	12.69231	36	BT	192	181	164.452272068023	0.234	Africa	AGR	NS	12	Tropical savanna	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	336.6	139.36	712
Afro-Asiatic,Chadic,WestChadic,WestChadicB	131	4577	10.80561	13.58257	38	BT	Afro-Asiatic,Chadic,WestChadic,WestChadicB,WestChadicB.1	2	1743	9.141052	11.551	5	BT	92	155	289.7283730245	0.102	Africa	AGR	EW	13	Tropical xerophytic shrubland	100	7	Tropical & Subtropical Grasslands, Savannas & Shrublands 	100	490.49	91.08	573.13
